15.50	 A0:709	 A1:735	 A2:117


15.53	 A0:704	 A1:732	 A2:113


15.56	 A0:704	 A1:726	 A2:115


15.60	 A0:701	 A1:733	 A2:116


15.63	 A0:696	 A1:735	 A2:117


15.66	 A0:700	 A1:734	 A2:112


15.69	 A0:704	 A1:731	 A2:114


15.73	 A0:704	 A1:729	 A2:116


15.76	 A0:700	 A1:733	 A2:116


15.79	 A0:696	 A1:735	 A2:117


15.82	 A0:698	 A1:734	 A2:113


15.85	 A0:704	 A1:731	 A2:114


15.89	 A0:704	 A1:727	 A2:116


15.92	 A0:701	 A1:733	 A2:116


15.95	 A0:696	 A1:735	 A2:117


15.98	 A0:698	 A1:734	 A2:113


16.02	 A0:704	 A1:730	 A2:114


16.05	 A0:703	 A1:731	 A2:116


16.08	 A0:699	 A1:735	 A2:116


16.11	 A0:699	 A1:735	 A2:117


16.14	 A0:703	 A1:733	 A2:123


16.18	 A0:704	 A1:727	 A2:115


16.21	 A0:702	 A1:724	 A2:116


16.24	 A0:697	 A1:735	 A2:116


16.27	 A0:695	 A1:735	 A2:116


16.31	 A0:704	 A1:731	 A2:114


16.34	 A0:703	 A1:727	 A2:115


16.37	 A0:700	 A1:734	 A2:116


16.40	 A0:698	 A1:735	 A2:117


16.43	 A0:703	 A1:733	 A2:119


16.47	 A0:704	 A1:727	 A2:115


16.50	 A0:702	 A1:724	 A2:116


16.53	 A0:696	 A1:735	 A2:116


16.56	 A0:695	 A1:734	 A2:117


16.60	 A0:704	 A1:732	 A2:113


16.63	 A0:704	 A1:725	 A2:115


16.66	 A0:701	 A1:732	 A2:116


16.69	 A0:696	 A1:735	 A2:116


16.73	 A0:694	 A1:734	 A2:116


16.76	 A0:704	 A1:732	 A2:114


16.79	 A0:704	 A1:726	 A2:115


16.82	 A0:701	 A1:729	 A2:116


16.85	 A0:697	 A1:735	 A2:116


16.89	 A0:703	 A1:735	 A2:117


16.92	 A0:703	 A1:732	 A2:115


16.95	 A0:704	 A1:727	 A2:115


16.98	 A0:702	 A1:724	 A2:116


17.01	 A0:697	 A1:735	 A2:116


17.05	 A0:703	 A1:735	 A2:117


17.08	 A0:704	 A1:732	 A2:113


17.11	 A0:704	 A1:726	 A2:115


17.14	 A0:701	 A1:728	 A2:116


17.18	 A0:696	 A1:735	 A2:116


17.21	 A0:701	 A1:735	 A2:117


17.24	 A0:703	 A1:732	 A2:113


17.27	 A0:704	 A1:726	 A2:115


17.30	 A0:702	 A1:728	 A2:116


17.34	 A0:697	 A1:735	 A2:116


17.37	 A0:709	 A1:735	 A2:117


17.40	 A0:703	 A1:733	 A2:123


17.43	 A0:704	 A1:728	 A2:115


17.47	 A0:703	 A1:739	 A2:116


17.50	 A0:700	 A1:734	 A2:116


17.53	 A0:696	 A1:735	 A2:117


17.56	 A0:698	 A1:734	 A2:116


17.60	 A0:704	 A1:732	 A2:113


17.63	 A0:704	 A1:726	 A2:115


17.66	 A0:702	 A1:739	 A2:116


17.69	 A0:699	 A1:734	 A2:116


17.72	 A0:697	 A1:735	 A2:117


17.76	 A0:696	 A1:735	 A2:115


17.79	 A0:704	 A1:732	 A2:113


17.82	 A0:704	 A1:726	 A2:115


17.85	 A0:702	 A1:726	 A2:116


17.89	 A0:696	 A1:735	 A2:116


17.92	 A0:697	 A1:735	 A2:117


17.95	 A0:704	 A1:732	 A2:114


17.98	 A0:704	 A1:725	 A2:115


18.01	 A0:701	 A1:733	 A2:116


18.05	 A0:695	 A1:735	 A2:117


18.08	 A0:702	 A1:734	 A2:106


18.11	 A0:704	 A1:729	 A2:115


18.14	 A0:703	 A1:739	 A2:116


18.18	 A0:698	 A1:735	 A2:116


18.21	 A0:706	 A1:735	 A2:117


18.24	 A0:703	 A1:732	 A2:113


18.27	 A0:704	 A1:726	 A2:115


18.30	 A0:702	 A1:729	 A2:116


18.34	 A0:696	 A1:735	 A2:116


18.37	 A0:693	 A1:735	 A2:116


