Time,C0,C1,C2
41.68,503,669,539
41.71,506,668,539
41.74,508,668,538
41.78,508,668,538
41.81,507,667,538
41.84,505,667,538
41.87,504,667,537
41.90,502,666,537
41.94,501,666,537
41.97,500,666,537
42.00,499,666,537
42.03,498,666,536
42.06,498,666,536
42.10,497,666,536
42.13,497,666,536
42.16,497,666,536
42.19,497,666,536
42.23,497,666,536
42.26,497,666,536
42.29,497,667,536
42.32,497,667,536
42.36,497,667,536
42.39,498,669,536
42.42,498,667,537
42.45,499,668,537
42.49,500,671,537
42.52,500,668,537
42.55,501,668,537
42.58,502,668,538
42.61,504,671,538
42.65,505,668,538
42.68,507,668,538
42.71,507,669,539
42.74,498,670,540
42.78,493,673,542
42.81,503,676,545
42.84,499,667,551
42.87,497,668,531
42.90,496,666,542
42.94,495,665,539
42.97,495,665,538
43.00,495,665,537
43.03,495,664,537
43.06,496,664,536
43.10,496,664,536
43.13,497,664,536
43.16,498,665,537
43.19,498,665,537
43.23,500,666,537
43.26,501,666,538
43.29,503,666,538
43.32,504,667,538
43.36,507,667,538
43.39,509,668,539
43.42,509,669,540
43.45,489,671,541
43.49,501,676,544
43.52,500,657,550
43.55,496,669,541
43.58,495,666,540
43.61,494,665,538
43.65,494,664,537
43.68,495,665,536
43.71,495,665,537
43.74,496,665,537
43.77,498,666,538
43.81,502,667,539
43.84,507,669,540
43.87,491,673,542
43.90,498,676,543
43.94,500,671,546
43.97,498,654,547
44.00,498,657,548
44.03,497,657,548
44.06,498,657,547
44.10,498,654,546
44.13,499,665,545
44.16,500,675,544
44.19,502,677,543
44.23,490,673,541
44.26,497,670,540
44.29,508,668,539
44.32,506,666,538
44.36,503,666,538
44.39,500,665,537
44.42,499,665,537
44.45,498,665,537
