Time,D0,D1,D2
36.13,503,657,589
36.17,505,659,589
36.20,500,656,587
36.23,495,639,585
36.26,499,655,585
36.29,510,662,597
36.33,500,656,587
36.36,502,657,588
36.39,513,665,597
36.42,499,655,586
36.46,512,664,598
36.49,501,656,587
36.52,502,657,588
36.55,506,658,599
36.59,499,655,585
36.62,509,661,595
36.65,501,657,587
36.68,501,656,587
36.71,491,637,585
36.75,499,655,585
36.78,505,659,590
36.81,506,660,591
36.84,499,655,585
36.88,515,664,599
36.91,501,656,586
36.94,502,656,587
36.97,477,642,579
37.00,499,655,585
37.04,506,658,590
37.07,506,659,590
37.10,500,655,585
37.13,518,667,602
37.17,500,655,586
37.20,503,656,588
37.23,513,664,597
37.26,500,655,585
37.29,510,661,594
37.33,503,657,588
37.36,501,656,587
37.39,521,671,607
37.42,500,655,585
37.46,505,658,589
37.49,511,663,595
37.52,499,654,585
37.55,510,661,594
37.58,503,658,588
37.62,500,655,586
37.65,521,671,604
37.68,500,655,585
37.71,503,656,587
37.75,513,664,585
37.78,499,655,585
37.81,505,658,589
37.84,507,661,593
37.87,499,654,585
37.91,510,661,594
37.94,502,657,588
37.97,500,655,586
38.00,523,673,606
38.04,500,655,586
38.07,503,657,588
38.10,514,666,598
38.13,500,655,585
38.17,507,660,592
38.20,505,660,591
38.23,500,655,585
38.26,513,664,597
38.29,501,657,587
38.33,501,656,586
38.36,523,673,605
38.39,501,656,586
38.42,503,657,588
38.46,500,652,570
38.49,500,655,586
38.52,506,659,590
38.55,509,663,595
38.58,500,655,585
38.62,510,661,593
38.65,503,659,589
38.68,499,655,586
38.71,517,667,600
38.75,501,657,587
38.78,502,657,587
38.81,487,648,568
38.84,499,655,586
38.87,507,659,591
38.91,506,660,591
38.94,499,656,586
38.97,518,668,602
39.00,499,656,586
39.04,504,658,590
39.07,509,663,592
39.10,499,656,586
39.13,521,674,607
39.16,500,656,585
39.20,508,661,595
39.23,501,657,587
39.26,503,658,589
39.29,509,663,592
39.33,500,656,586
39.36,524,671,565
39.39,499,655,585
39.42,510,662,595
39.45,501,657,587
39.49,503,658,589
39.52,510,663,592
39.55,499,656,586
39.58,522,673,605
39.62,499,655,585
39.65,507,660,593
39.68,502,657,587
39.71,502,657,587
39.74,514,666,597
39.78,499,655,585
39.81,513,665,600
39.84,500,656,586
39.87,502,658,589
39.91,508,662,592
39.94,500,656,586
39.97,519,671,605
40.00,499,656,586
40.04,505,659,590
40.07,505,660,590
40.10,499,655,585
40.13,519,674,607
40.16,498,655,585
40.20,505,659,590
40.23,503,659,589
40.26,499,656,587
40.29,523,667,566
40.33,498,655,585
40.36,506,660,592
40.39,502,658,588
40.42,500,656,587
40.45,479,644,566
40.49,499,655,586
40.52,508,661,594
40.55,501,657,587
40.58,501,657,587
40.61,508,666,597
40.65,499,656,585
40.68,516,670,605
40.71,499,656,585
40.74,507,661,594
40.78,500,657,586
40.81,502,658,590
40.84,502,658,587
40.87,500,657,588
40.90,509,663,591
40.94,499,656,586
40.97,510,639,569
41.00,498,656,585
41.03,511,664,599
41.07,499,656,585
41.10,503,659,590
41.13,502,658,587
41.16,500,657,587
41.20,512,665,595
41.23,498,655,585
41.26,518,674,606
41.29,498,656,585
41.32,506,661,593
41.36,499,657,586
41.39,501,657,587
41.42,508,662,591
41.45,498,656,585
41.49,521,644,582
41.52,498,655,585
41.55,511,666,600
41.58,498,656,585
41.61,504,660,591
41.65,501,658,587
41.68,501,658,589
41.71,508,662,591
41.74,499,656,586
41.78,519,638,582
41.81,498,656,585
41.84,511,665,599
41.87,499,656,585
41.90,504,659,591
41.94,502,658,587
41.97,500,657,588
42.00,510,664,593
42.03,498,656,585
42.06,520,674,573
42.10,498,656,584
42.13,508,664,597
42.16,499,657,585
42.19,503,659,591
42.23,501,658,587
42.26,502,659,590
42.29,502,658,587
42.32,502,660,591
42.36,501,658,586
42.39,504,661,594
42.42,499,656,585
42.45,508,664,599
42.49,498,656,585
42.52,511,668,604
42.55,498,656,584
42.58,513,670,604
42.61,498,656,585
42.65,511,668,603
42.68,497,656,585
42.71,509,664,598
42.74,498,656,584
42.78,505,662,593
42.81,499,657,586
42.84,502,660,590
42.87,502,659,587
42.90,500,658,587
42.94,509,663,591
42.97,500,657,586
43.00,510,666,596
43.03,498,656,585
43.06,509,639,598
43.10,498,657,585
43.13,521,665,581
43.16,498,656,584
43.19,518,675,604
43.23,498,656,584
43.26,513,668,602
43.29,497,656,584
43.32,509,665,598
43.36,497,656,584
43.39,507,663,595
43.42,498,656,584
43.45,505,661,592
43.49,498,657,585
43.52,502,660,589
