3.35	 C0:66	 C1:302	 C2:116
3.35	 A0:88	 A1:512	 A2:222
3.47	 B0:233	 B1:327	 B2:138
3.23	 D0:22	 D1:113	 D2:69

3.38	 C0:66	 C1:302	 C2:116
3.38	 A0:88	 A1:512	 A2:222
3.50	 B0:233	 B1:327	 B2:138
3.26	 D0:22	 D1:113	 D2:69

3.41	 C0:66	 C1:302	 C2:116
3.41	 A0:88	 A1:512	 A2:221
3.53	 B0:233	 B1:327	 B2:138
3.29	 D0:22	 D1:113	 D2:69

3.44	 C0:66	 C1:302	 C2:116
3.44	 A0:88	 A1:512	 A2:222
3.56	 B0:233	 B1:327	 B2:138
3.32	 D0:22	 D1:113	 D2:69

3.47	 C0:66	 C1:302	 C2:116
3.47	 A0:88	 A1:512	 A2:221
3.59	 B0:233	 B1:327	 B2:138
3.35	 D0:22	 D1:113	 D2:69

3.50	 C0:66	 C1:302	 C2:116
3.50	 A0:88	 A1:512	 A2:221
3.62	 B0:233	 B1:327	 B2:138
3.38	 D0:22	 D1:112	 D2:69

3.53	 C0:66	 C1:302	 C2:116
3.53	 A0:88	 A1:512	 A2:221
3.65	 B0:233	 B1:327	 B2:138
3.41	 D0:22	 D1:113	 D2:69

3.56	 C0:66	 C1:302	 C2:116
3.56	 A0:88	 A1:512	 A2:221
3.69	 B0:233	 B1:327	 B2:138
3.44	 D0:22	 D1:112	 D2:69

3.59	 C0:65	 C1:302	 C2:116
3.59	 A0:88	 A1:512	 A2:221
3.72	 B0:233	 B1:327	 B2:138
3.47	 D0:22	 D1:113	 D2:69

3.62	 C0:66	 C1:302	 C2:116
3.62	 A0:88	 A1:512	 A2:221
3.75	 B0:233	 B1:328	 B2:138
3.49	 D0:22	 D1:113	 D2:69

3.65	 C0:66	 C1:302	 C2:116
3.65	 A0:88	 A1:512	 A2:221
3.78	 B0:233	 B1:327	 B2:138
3.52	 D0:22	 D1:113	 D2:69

3.68	 C0:66	 C1:302	 C2:116
3.68	 A0:88	 A1:512	 A2:221
3.81	 B0:233	 B1:328	 B2:138
3.55	 D0:22	 D1:113	 D2:69

3.71	 C0:66	 C1:302	 C2:116
3.71	 A0:88	 A1:512	 A2:221
3.84	 B0:233	 B1:327	 B2:138
3.58	 D0:22	 D1:113	 D2:69

3.74	 C0:66	 C1:302	 C2:116
3.74	 A0:88	 A1:512	 A2:222
3.87	 B0:233	 B1:327	 B2:138
3.61	 D0:22	 D1:113	 D2:69

3.77	 C0:66	 C1:302	 C2:116
3.77	 A0:88	 A1:512	 A2:221
3.90	 B0:233	 B1:327	 B2:138
3.64	 D0:22	 D1:113	 D2:69

3.80	 C0:66	 C1:302	 C2:116
3.80	 A0:88	 A1:512	 A2:222
3.94	 B0:233	 B1:327	 B2:138
3.67	 D0:22	 D1:113	 D2:69

3.83	 C0:66	 C1:302	 C2:116
3.83	 A0:88	 A1:512	 A2:221
3.97	 B0:233	 B1:327	 B2:138
3.70	 D0:22	 D1:113	 D2:69

3.86	 C0:66	 C1:302	 C2:116
3.86	 A0:88	 A1:512	 A2:222
4.00	 B0:233	 B1:327	 B2:138
3.73	 D0:22	 D1:113	 D2:69

3.89	 C0:66	 C1:302	 C2:116
3.89	 A0:88	 A1:512	 A2:222
4.03	 B0:233	 B1:327	 B2:138
3.76	 D0:22	 D1:113	 D2:69

3.92	 C0:66	 C1:302	 C2:116
3.92	 A0:88	 A1:512	 A2:221
4.06	 B0:233	 B1:327	 B2:138
3.79	 D0:22	 D1:113	 D2:69

3.95	 C0:66	 C1:302	 C2:116
3.95	 A0:88	 A1:512	 A2:222
4.09	 B0:233	 B1:327	 B2:138
3.82	 D0:22	 D1:113	 D2:69

3.98	 C0:66	 C1:302	 C2:116
3.98	 A0:88	 A1:512	 A2:222
4.12	 B0:233	 B1:327	 B2:138
3.84	 D0:22	 D1:113	 D2:69

4.01	 C0:66	 C1:302	 C2:116
4.01	 A0:88	 A1:512	 A2:221
4.15	 B0:233	 B1:327	 B2:138
3.87	 D0:22	 D1:113	 D2:69

4.04	 C0:65	 C1:302	 C2:116
4.04	 A0:88	 A1:512	 A2:221
4.19	 B0:233	 B1:327	 B2:138
3.90	 D0:22	 D1:113	 D2:69

4.07	 C0:66	 C1:302	 C2:116
4.07	 A0:88	 A1:512	 A2:221
4.22	 B0:233	 B1:327	 B2:138
3.93	 D0:22	 D1:113	 D2:69

4.10	 C0:66	 C1:302	 C2:116
4.10	 A0:88	 A1:512	 A2:221
4.25	 B0:233	 B1:327	 B2:138
3.96	 D0:22	 D1:113	 D2:69

4.13	 C0:66	 C1:302	 C2:116
4.13	 A0:88	 A1:512	 A2:221
4.28	 B0:233	 B1:327	 B2:138
3.99	 D0:22	 D1:113	 D2:69

4.16	 C0:66	 C1:302	 C2:116
4.16	 A0:88	 A1:512	 A2:221
4.31	 B0:233	 B1:327	 B2:138
4.02	 D0:22	 D1:113	 D2:69

4.19	 C0:66	 C1:302	 C2:116
4.19	 A0:88	 A1:512	 A2:221
4.34	 B0:233	 B1:327	 B2:138
4.05	 D0:22	 D1:113	 D2:69

4.23	 C0:66	 C1:302	 C2:115
4.23	 A0:88	 A1:512	 A2:221
4.37	 B0:233	 B1:327	 B2:138
4.08	 D0:22	 D1:113	 D2:69

4.25	 C0:66	 C1:302	 C2:116
4.25	 A0:88	 A1:512	 A2:221
4.40	 B0:233	 B1:327	 B2:138
4.11	 D0:22	 D1:113	 D2:69

4.28	 C0:66	 C1:302	 C2:116
4.28	 A0:88	 A1:512	 A2:221
4.43	 B0:233	 B1:327	 B2:138
4.13	 D0:22	 D1:113	 D2:69

4.32	 C0:66	 C1:302	 C2:116
4.32	 A0:88	 A1:512	 A2:221
4.47	 B0:233	 B1:327	 B2:138
4.16	 D0:22	 D1:112	 D2:69

4.34	 C0:66	 C1:302	 C2:116
4.34	 A0:88	 A1:512	 A2:221
4.50	 B0:233	 B1:327	 B2:138
4.19	 D0:22	 D1:113	 D2:69

4.38	 C0:66	 C1:302	 C2:116
4.38	 A0:88	 A1:512	 A2:221
4.53	 B0:233	 B1:327	 B2:138
4.22	 D0:22	 D1:113	 D2:69

4.41	 C0:66	 C1:302	 C2:116
4.41	 A0:88	 A1:512	 A2:221
4.56	 B0:233	 B1:327	 B2:138
4.25	 D0:22	 D1:113	 D2:69

4.44	 C0:66	 C1:302	 C2:116
4.44	 A0:88	 A1:512	 A2:221
4.59	 B0:233	 B1:327	 B2:138
4.28	 D0:22	 D1:113	 D2:69

4.47	 C0:66	 C1:302	 C2:116
4.47	 A0:88	 A1:512	 A2:221
4.62	 B0:233	 B1:327	 B2:138
4.31	 D0:22	 D1:113	 D2:69

4.50	 C0:66	 C1:302	 C2:116
4.50	 A0:88	 A1:512	 A2:221
4.65	 B0:233	 B1:327	 B2:138
4.34	 D0:22	 D1:113	 D2:69

4.53	 C0:66	 C1:302	 C2:116
4.53	 A0:88	 A1:512	 A2:221
4.68	 B0:233	 B1:327	 B2:138
4.37	 D0:22	 D1:113	 D2:69

4.56	 C0:66	 C1:302	 C2:116
4.56	 A0:88	 A1:512	 A2:221
4.72	 B0:233	 B1:327	 B2:138
4.40	 D0:22	 D1:113	 D2:69

4.59	 C0:65	 C1:302	 C2:116
4.59	 A0:88	 A1:512	 A2:221
4.75	 B0:233	 B1:327	 B2:138
4.43	 D0:22	 D1:113	 D2:69

4.62	 C0:66	 C1:303	 C2:116
4.62	 A0:88	 A1:512	 A2:221
4.78	 B0:233	 B1:327	 B2:138
4.46	 D0:22	 D1:113	 D2:69

4.65	 C0:66	 C1:302	 C2:116
4.65	 A0:88	 A1:512	 A2:221
4.81	 B0:233	 B1:327	 B2:138
4.49	 D0:22	 D1:113	 D2:69

4.68	 C0:66	 C1:302	 C2:116
