4.10	 A0:44	 A1:357	 A2:102

4.28	 B0:143	 B1:289	 B2:105
4.13	 C0:55	 C1:134	 C2:404
4.13	 D0:42	 D1:341	 D2:143
4.13	 A0:44	 A1:357	 A2:102

4.31	 B0:143	 B1:289	 B2:105
4.16	 C0:55	 C1:134	 C2:404
4.16	 D0:42	 D1:341	 D2:143
4.16	 A0:44	 A1:357	 A2:102

4.34	 B0:143	 B1:289	 B2:105
4.19	 C0:55	 C1:134	 C2:404
4.19	 D0:42	 D1:341	 D2:142
4.19	 A0:44	 A1:357	 A2:102

4.37	 B0:143	 B1:289	 B2:105
4.23	 C0:55	 C1:134	 C2:404
4.23	 D0:42	 D1:341	 D2:143
4.23	 A0:44	 A1:357	 A2:101

4.40	 B0:143	 B1:289	 B2:105
4.25	 C0:55	 C1:134	 C2:404
4.25	 D0:42	 D1:341	 D2:143
4.25	 A0:44	 A1:357	 A2:102

4.43	 B0:143	 B1:289	 B2:105
4.28	 C0:55	 C1:134	 C2:404
4.28	 D0:42	 D1:341	 D2:142
4.28	 A0:44	 A1:357	 A2:101

4.47	 B0:143	 B1:289	 B2:105
4.32	 C0:55	 C1:134	 C2:404
4.32	 D0:42	 D1:341	 D2:143
4.32	 A0:44	 A1:357	 A2:101

4.50	 B0:143	 B1:289	 B2:105
4.34	 C0:55	 C1:134	 C2:404
4.34	 D0:41	 D1:341	 D2:143
4.34	 A0:44	 A1:357	 A2:102

4.53	 B0:143	 B1:289	 B2:105
4.38	 C0:55	 C1:134	 C2:404
4.38	 D0:42	 D1:341	 D2:142
4.38	 A0:44	 A1:357	 A2:102

4.56	 B0:143	 B1:289	 B2:105
4.41	 C0:55	 C1:134	 C2:404
4.41	 D0:42	 D1:341	 D2:142
4.41	 A0:44	 A1:357	 A2:102

4.59	 B0:143	 B1:289	 B2:105
4.44	 C0:55	 C1:134	 C2:404
4.44	 D0:42	 D1:341	 D2:142
4.44	 A0:44	 A1:357	 A2:102

4.62	 B0:143	 B1:289	 B2:105
4.47	 C0:55	 C1:134	 C2:404
4.47	 D0:42	 D1:341	 D2:142
4.47	 A0:44	 A1:357	 A2:102

4.65	 B0:143	 B1:289	 B2:105
4.50	 C0:55	 C1:134	 C2:404
4.50	 D0:42	 D1:341	 D2:143
4.50	 A0:44	 A1:357	 A2:101

4.68	 B0:143	 B1:289	 B2:105
4.53	 C0:55	 C1:134	 C2:404
4.53	 D0:42	 D1:341	 D2:142
4.53	 A0:44	 A1:357	 A2:101

4.72	 B0:143	 B1:289	 B2:105
4.56	 C0:55	 C1:134	 C2:404
4.56	 D0:42	 D1:341	 D2:142
4.56	 A0:44	 A1:357	 A2:102

4.75	 B0:143	 B1:289	 B2:105
4.59	 C0:55	 C1:134	 C2:404
4.59	 D0:42	 D1:341	 D2:143
4.59	 A0:44	 A1:357	 A2:101

4.78	 B0:143	 B1:289	 B2:105
4.62	 C0:55	 C1:134	 C2:404
4.62	 D0:42	 D1:341	 D2:142
4.62	 A0:44	 A1:357	 A2:102

4.81	 B0:143	 B1:289	 B2:105
4.65	 C0:55	 C1:134	 C2:404
4.65	 D0:42	 D1:342	 D2:143
4.65	 A0:44	 A1:357	 A2:102

4.84	 B0:143	 B1:289	 B2:106
