4.13	 C0:82	 C1:369	 C2:142
4.28	 A0:123	 A1:544	 A2:249
4.28	 B0:288	 B1:400	 B2:157
3.99	 D0:31	 D1:160	 D2:66

4.16	 C0:82	 C1:369	 C2:142
4.31	 A0:122	 A1:544	 A2:249
4.31	 B0:287	 B1:400	 B2:156
4.02	 D0:31	 D1:160	 D2:66

4.19	 C0:82	 C1:369	 C2:142
4.34	 A0:122	 A1:544	 A2:249
4.34	 B0:288	 B1:400	 B2:156
4.05	 D0:32	 D1:160	 D2:66

4.23	 C0:82	 C1:369	 C2:142
4.37	 A0:122	 A1:543	 A2:249
4.37	 B0:288	 B1:400	 B2:157
4.08	 D0:32	 D1:160	 D2:66

4.25	 C0:82	 C1:370	 C2:142
4.40	 A0:122	 A1:544	 A2:249
4.40	 B0:288	 B1:400	 B2:157
4.11	 D0:32	 D1:160	 D2:66

4.28	 C0:82	 C1:369	 C2:142
4.43	 A0:122	 A1:544	 A2:249
4.43	 B0:288	 B1:400	 B2:157
4.13	 D0:32	 D1:160	 D2:66

4.32	 C0:82	 C1:369	 C2:142
4.47	 A0:122	 A1:544	 A2:249
4.47	 B0:287	 B1:400	 B2:156
4.16	 D0:32	 D1:160	 D2:66

4.34	 C0:82	 C1:369	 C2:142
4.50	 A0:122	 A1:544	 A2:249
4.50	 B0:288	 B1:400	 B2:156
4.19	 D0:32	 D1:160	 D2:66

4.38	 C0:82	 C1:369	 C2:142
4.53	 A0:122	 A1:544	 A2:249
4.53	 B0:288	 B1:400	 B2:156
4.22	 D0:32	 D1:160	 D2:66

4.41	 C0:82	 C1:370	 C2:143
4.56	 A0:122	 A1:544	 A2:249
4.56	 B0:288	 B1:400	 B2:157
4.25	 D0:32	 D1:160	 D2:66

4.44	 C0:82	 C1:369	 C2:143
4.59	 A0:122	 A1:544	 A2:249
4.59	 B0:288	 B1:400	 B2:157
4.28	 D0:32	 D1:160	 D2:66

4.47	 C0:82	 C1:369	 C2:142
4.62	 A0:122	 A1:544	 A2:249
4.62	 B0:288	 B1:400	 B2:157
4.31	 D0:32	 D1:160	 D2:66

4.50	 C0:82	 C1:369	 C2:142
4.65	 A0:122	 A1:544	 A2:249
4.65	 B0:288	 B1:400	 B2:156
4.34	 D0:32	 D1:160	 D2:66

4.53	 C0:82	 C1:370	 C2:142
4.68	 A0:122	 A1:544	 A2:249
4.68	 B0:288	 B1:400	 B2:156
4.37	 D0:32	 D1:160	 D2:66

4.56	 C0:82	 C1:370	 C2:142
4.72	 A0:122	 A1:544	 A2:249
4.72	 B0:288	 B1:400	 B2:156
4.40	 D0:32	 D1:160	 D2:66

4.59	 C0:82	 C1:369	 C2:142
4.75	 A0:122	 A1:544	 A2:249
4.75	 B0:288	 B1:400	 B2:156
4.43	 D0:32	 D1:160	 D2:66

4.62	 C0:82	 C1:369	 C2:142
4.78	 A0:122	 A1:544	 A2:249
4.78	 B0:288	 B1:400	 B2:157
4.46	 D0:32	 D1:160	 D2:66

4.65	 C0:82	 C1:369	 C2:143
4.81	 A0:122	 A1:544	 A2:249
4.81	 B0:288	 B1:400	 B2:156
4.49	 D0:32	 D1:160	 D2:66

4.68	 C0:82	 C1:370	 C2:142
