4.19	 B0:207	 B1:296	 B2:129
3.90	 D0:19	 D1:110	 D2:47

4.07	 C0:58	 C1:263	 C2:114
4.07	 A0:76	 A1:489	 A2:208
4.22	 B0:207	 B1:296	 B2:128
3.93	 D0:19	 D1:110	 D2:47

4.10	 C0:58	 C1:263	 C2:114
4.10	 A0:76	 A1:489	 A2:208
4.25	 B0:207	 B1:296	 B2:129
3.96	 D0:19	 D1:110	 D2:48

4.13	 C0:58	 C1:264	 C2:114
4.13	 A0:76	 A1:489	 A2:208
4.28	 B0:207	 B1:296	 B2:129
3.99	 D0:19	 D1:110	 D2:48

4.16	 C0:58	 C1:263	 C2:114
4.16	 A0:76	 A1:489	 A2:208
4.31	 B0:207	 B1:296	 B2:128
4.02	 D0:19	 D1:110	 D2:48

4.19	 C0:58	 C1:263	 C2:114
4.19	 A0:76	 A1:489	 A2:208
4.34	 B0:207	 B1:296	 B2:129
4.05	 D0:19	 D1:110	 D2:48

4.23	 C0:58	 C1:263	 C2:114
4.23	 A0:76	 A1:489	 A2:208
4.37	 B0:207	 B1:296	 B2:129
4.08	 D0:19	 D1:110	 D2:48

4.25	 C0:58	 C1:263	 C2:114
4.25	 A0:76	 A1:489	 A2:207
4.40	 B0:207	 B1:296	 B2:129
4.11	 D0:19	 D1:110	 D2:48

4.28	 C0:58	 C1:263	 C2:114
4.28	 A0:76	 A1:489	 A2:208
4.43	 B0:207	 B1:296	 B2:129
4.13	 D0:19	 D1:110	 D2:48

4.32	 C0:58	 C1:263	 C2:114
4.32	 A0:76	 A1:489	 A2:208
4.47	 B0:207	 B1:296	 B2:129
4.16	 D0:19	 D1:110	 D2:48

4.34	 C0:58	 C1:263	 C2:114
4.34	 A0:76	 A1:489	 A2:208
4.50	 B0:207	 B1:296	 B2:129
4.19	 D0:19	 D1:110	 D2:48

4.38	 C0:58	 C1:263	 C2:114
4.38	 A0:76	 A1:489	 A2:208
4.53	 B0:207	 B1:296	 B2:129
4.22	 D0:19	 D1:110	 D2:48

4.41	 C0:58	 C1:263	 C2:114
4.41	 A0:76	 A1:489	 A2:208
4.56	 B0:207	 B1:296	 B2:128
4.25	 D0:19	 D1:110	 D2:48

4.44	 C0:58	 C1:263	 C2:113
4.44	 A0:76	 A1:489	 A2:208
4.59	 B0:207	 B1:296	 B2:129
4.28	 D0:19	 D1:110	 D2:48

4.47	 C0:58	 C1:263	 C2:114
4.47	 A0:76	 A1:489	 A2:208
4.62	 B0:207	 B1:296	 B2:128
4.31	 D0:19	 D1:110	 D2:48

4.50	 C0:58	 C1:263	 C2:113
4.50	 A0:76	 A1:489	 A2:208
4.65	 B0:207	 B1:296	 B2:129
4.34	 D0:19	 D1:110	 D2:48

4.53	 C0:58	 C1:263	 C2:114
4.53	 A0:76	 A1:489	 A2:208
4.68	 B0:207	 B1:296	 B2:128
4.37	 D0:19	 D1:110	 D2:48

4.56	 C0:58	 C1:263	 C2:114
4.56	 A0:76	 A1:489	 A2:208
4.72	 B0:207	 B1:296	 B2:128
4.40	 D0:19	 D1:110	 D2:48

4.59	 C0:58	 C1:263	 C2:114
4.59	 A0:76	 A1:489	 A2:208
4.75	 B0:207	 B1:296	 B2:129
4.43	 D0:19	 D1:110	 D2:48

4.62	 C0:58	 C1:263	 C2:114
4.62	 A0:76	 A1:489	 A2:208
4.78	 B0:207	 B1:296	 B2:128
4.46	 D0:19	 D1:110	 D2:48

4.65	 C0:58	 C1:263	 C2:113
4.65	 A0:76	 A1:489	 A2:208
4.81	 B0:207	 B1:296	 B2:129
4.49	 D0:19	 D1:110	 D2:48

4.68	 C0:58	 C1:263	 C2:114
