4.72	 B0:237	 B1:311	 B2:229
4.56	 C0:58	 C1:141	 C2:360
4.56	 D0:34	 D1:258	 D2:108
4.72	 A0:740	 A1:770	 A2:115

4.75	 B0:226	 B1:310	 B2:228
4.59	 C0:58	 C1:140	 C2:360
4.59	 D0:34	 D1:258	 D2:108
4.75	 A0:740	 A1:770	 A2:115

4.78	 B0:214	 B1:311	 B2:229
4.62	 C0:58	 C1:140	 C2:360
4.62	 D0:34	 D1:258	 D2:108
4.78	 A0:740	 A1:770	 A2:115

4.81	 B0:215	 B1:311	 B2:229
4.65	 C0:59	 C1:140	 C2:360
4.65	 D0:34	 D1:258	 D2:108
4.81	 A0:740	 A1:770	 A2:115

4.84	 B0:221	 B1:311	 B2:229
