8.36	 C0:13	 C1:60	 C2:16	 T:22.20

7.68	 D0:9	 D1:134	 D2:62	 T:nan


8.20	 A0:16	 A1:210	 A2:48	 T:nan

8.20	 B0:69	 B1:140	 B2:60	 T:nan

8.44	 C0:13	 C1:59	 C2:16	 T:22.20

7.75	 D0:9	 D1:134	 D2:62	 T:nan


8.27	 A0:16	 A1:210	 A2:48	 T:nan

8.27	 B0:70	 B1:140	 B2:60	 T:nan

8.51	 C0:13	 C1:60	 C2:17	 T:22.20

7.82	 D0:9	 D1:134	 D2:62	 T:nan


8.35	 A0:16	 A1:210	 A2:49	 T:nan

8.35	 B0:69	 B1:140	 B2:60	 T:nan

8.59	 C0:13	 C1:59	 C2:16	 T:22.20

7.89	 D0:9	 D1:135	 D2:62	 T:nan


8.42	 A0:16	 A1:210	 A2:48	 T:nan

8.42	 B0:69	 B1:140	 B2:60	 T:nan

8.66	 C0:13	 C1:60	 C2:17	 T:22.20

7.96	 D0:9	 D1:134	 D2:62	 T:nan


8.49	 A0:16	 A1:210	 A2:48	 T:nan

8.49	 B0:70	 B1:140	 B2:60	 T:nan

8.74	 C0:13	 C1:59	 C2:16	 T:22.20

8.03	 D0:9	 D1:134	 D2:62	 T:nan


8.56	 A0:16	 A1:210	 A2:48	 T:nan

8.56	 B0:70	 B1:140	 B2:60	 T:nan

8.81	 C0:13	 C1:59	 C2:16	 T:22.20

8.10	 D0:9	 D1:134	 D2:62	 T:nan


8.64	 A0:16	 A1:210	 A2:48	 T:nan

8.64	 B0:70	 B1:140	 B2:60	 T:nan

