7.62	 D0:11	 D1:130	 D2:72	 T:nan

7.91	 A0:22	 A1:196	 A2:57	 T:nan
7.80	 B0:79	 B1:135	 B2:59	 T:nan
8.29	 C0:17	 C1:60	 C2:17	 T:22.20
7.69	 D0:11	 D1:130	 D2:72	 T:nan

7.98	 A0:22	 A1:196	 A2:57	 T:nan
7.87	 B0:79	 B1:135	 B2:59	 T:nan
8.36	 C0:17	 C1:59	 C2:16	 T:22.20
7.76	 D0:11	 D1:131	 D2:72	 T:nan

8.07	 A0:22	 A1:196	 A2:57	 T:nan
7.95	 B0:79	 B1:135	 B2:59	 T:nan
8.44	 C0:17	 C1:59	 C2:16	 T:22.20
7.84	 D0:11	 D1:131	 D2:72	 T:nan

8.13	 A0:22	 A1:196	 A2:57	 T:nan
8.02	 B0:79	 B1:135	 B2:59	 T:nan
8.51	 C0:16	 C1:59	 C2:16	 T:22.20
7.91	 D0:11	 D1:131	 D2:72	 T:nan

8.20	 A0:22	 A1:196	 A2:58	 T:nan
8.09	 B0:79	 B1:136	 B2:59	 T:nan
8.59	 C0:17	 C1:60	 C2:16	 T:22.20
7.98	 D0:11	 D1:131	 D2:72	 T:nan

8.27	 A0:23	 A1:196	 A2:57	 T:nan
8.16	 B0:79	 B1:135	 B2:59	 T:nan
8.66	 C0:16	 C1:59	 C2:16	 T:22.20
8.07	 D0:11	 D1:130	 D2:72	 T:nan

8.35	 A0:22	 A1:196	 A2:58	 T:nan
8.24	 B0:79	 B1:135	 B2:59	 T:nan
8.74	 C0:17	 C1:60	 C2:16	 T:22.20
8.13	 D0:11	 D1:130	 D2:72	 T:nan

8.42	 A0:23	 A1:196	 A2:57	 T:nan
8.31	 B0:79	 B1:135	 B2:59	 T:nan
8.81	 C0:17	 C1:59	 C2:17	 T:22.20
8.20	 D0:12	 D1:131	 D2:73	 T:nan

8.49	 A0:23	 A1:196	 A2:58	 T:nan
8.38	 B0:79	 B1:135	 B2:59	 T:nan
8.89	 C0:17	 C1:60	 C2:16	 T:22.20
8.27	 D0:11	 D1:130	 D2:73	 T:nan

8.56	 A0:22	 A1:196	 A2:57	 T:nan
8.46	 B0:79	 B1:135	 B2:59	 T:nan
8.96	 C0:16	 C1:60	 C2:16	 T:22.20
8.35	 D0:11	 D1:131	 D2:72	 T:nan

8.64	 A0:22	 A1:196	 A2:57	 T:nan
8.53	 B0:79	 B1:135	 B2:59	 T:nan
9.04	 C0:16	 C1:60	 C2:16	 T:22.20
8.42	 D0:11	 D1:130	 D2:72	 T:nan

8.71	 A0:23	 A1:197	 A2:58	 T:nan
8.60	 B0:79	 B1:135	 B2:59	 T:nan
