,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_C,C0,C1,C2
290,8.69,46,361,102,8.99,160,323,114,8.69,58,140,359,8.69,58,140,359
291,8.72,46,361,102,9.02,160,324,114,8.72,58,140,359,8.72,58,140,359
292,8.75,46,361,102,9.05,160,323,114,8.75,58,140,359,8.75,58,140,359
293,8.78,45,361,102,9.08,159,323,114,8.78,58,140,359,8.78,58,140,359
294,8.81,46,362,102,9.11,159,323,114,8.81,58,140,360,8.81,58,140,360
295,8.84,46,362,102,9.15,160,324,114,8.84,58,140,360,8.84,58,140,360
296,8.87,46,362,102,9.18,160,323,114,8.87,58,140,359,8.87,58,140,359
297,8.90,46,361,102,9.21,160,323,114,8.90,58,140,359,8.90,58,140,359
298,8.93,46,362,102,9.24,160,323,114,8.93,58,140,359,8.93,58,140,359
299,8.96,46,362,102,9.27,159,323,114,8.96,58,140,359,8.96,58,140,359
300,8.99,46,361,102,9.30,160,323,114,8.99,58,140,359,8.99,58,140,359
301,9.02,46,362,102,9.33,160,323,114,9.02,58,140,359,9.02,58,140,359
302,9.05,46,362,102,9.36,160,323,114,9.05,58,140,359,9.05,58,140,359
303,9.08,46,362,103,9.40,159,323,114,9.08,58,140,359,9.08,58,140,359
304,9.11,46,362,102,9.43,160,324,114,9.11,58,141,359,9.11,58,141,359
305,9.14,46,362,102,9.46,160,323,114,9.14,58,140,360,9.14,58,140,360
306,9.17,46,362,102,9.49,160,323,114,9.17,58,140,360,9.17,58,140,360
307,9.20,46,362,102,9.52,159,323,114,9.20,58,140,359,9.20,58,140,359
308,9.23,46,362,102,9.55,159,323,114,9.23,58,141,359,9.23,58,141,359
309,9.26,46,362,102,9.58,160,323,114,9.26,58,140,359,9.26,58,140,359
310,9.29,46,362,102,9.61,159,324,114,9.29,58,140,359,9.29,58,140,359
311,9.32,46,362,102,9.65,159,324,114,9.32,58,140,359,9.32,58,140,359
312,9.35,46,362,102,9.68,159,324,114,9.35,58,140,359,9.35,58,140,359
313,9.38,46,362,103,9.71,159,324,114,9.38,58,140,359,9.38,58,140,359
314,9.41,46,362,102,9.74,159,323,114,9.41,58,140,359,9.41,58,140,359
315,9.44,46,362,103,9.77,159,324,114,9.44,58,140,360,9.44,58,140,360
316,9.47,46,362,102,9.80,159,323,114,9.47,58,140,359,9.47,58,140,359
317,9.50,46,362,103,9.83,160,324,114,9.50,58,140,359,9.50,58,140,359
318,9.53,46,362,102,9.86,159,323,114,9.53,58,140,359,9.53,58,140,359
319,9.56,46,362,103,9.89,159,323,114,9.56,58,140,359,9.56,58,140,359
320,9.59,46,362,103,9.93,159,323,114,9.59,58,140,360,9.59,58,140,360
321,9.62,46,362,103,9.96,159,324,114,9.62,58,140,359,9.62,58,140,359
322,9.65,46,362,103,9.99,159,324,114,9.65,58,140,359,9.65,58,140,359
323,9.68,46,362,102,10.02,159,324,114,9.68,58,140,359,9.68,58,140,359
324,9.71,46,362,103,10.05,159,323,114,9.71,58,140,359,9.71,58,140,359
